,Status,Species/Listing Name,animal,sp_name,alt_name
2,E,"Abalone, WhiteÂ North America (West Coast from Point Conception, CA, U.S.A., to Punta Abreojos, Baja California, Mexico)                          (Haliotis sorenseni)",Abalone,Haliotis sorenseni,
3,E,"Albatross, short-tailedÂ Wherever found                          (Phoebastria (=Diomedea) albatrus)",Albatross,Phoebastria albatrus,Diomedea albatrus
4,E,"Beetle, Casey's JuneÂ Wherever found                          (Dinacoma caseyi)",Beetle,Dinacoma caseyi,
5,T,"Beetle, delta green groundÂ Wherever found                          (Elaphrus viridis)",Beetle,Elaphrus viridis,
6,E,"Beetle, Mount Hermon JuneÂ Wherever found                          (Polyphylla barbata)",Beetle,Polyphylla barbata,
7,T,"Beetle, valley elderberry longhornÂ Wherever found                          (Desmocerus californicus dimorphus)",Beetle,Desmocerus californicus dimorphus,
8,T,"Butterfly, bay checkerspotÂ Wherever found                          (Euphydryas editha bayensis)",Butterfly,Euphydryas editha bayensis,
9,E,"Butterfly, Behren's silverspotÂ Wherever found                          (Speyeria zerene behrensii)",Butterfly,Speyeria zerene behrensii,
10,E,"Butterfly, callippe silverspotÂ Wherever found                          (Speyeria callippe callippe)",Butterfly,Speyeria callippe callippe,
11,E,"Butterfly, El Segundo blueÂ Wherever found                          (Euphilotes battoides allyni)",Butterfly,Euphilotes battoides allyni,
12,E,"Butterfly, Lange's metalmarkÂ Wherever found                          (Apodemia mormo langei)",Butterfly,Apodemia mormo langei,
13,E,"Butterfly, lotis blueÂ Wherever found                          (Lycaeides argyrognomon lotis)",Butterfly,Lycaeides argyrognomon lotis,
14,E,"Butterfly, mission blueÂ Wherever found                          (Icaricia icarioides missionensis)",Butterfly,Icaricia icarioides missionensis,
15,E,"Butterfly, Myrtle's silverspotÂ Wherever found                          (Speyeria zerene myrtleae)",Butterfly,Speyeria zerene myrtleae,
16,T,"Butterfly, Oregon silverspotÂ Wherever found                          (Speyeria zerene hippolyta)",Butterfly,Speyeria zerene hippolyta,
17,E,"Butterfly, Palos Verdes blueÂ Wherever found                          (Glaucopsyche lygdamus palosverdesensis)",Butterfly,Glaucopsyche lygdamus palosverdesensis,
18,E,"Butterfly, Quino checkerspotÂ Wherever found                          (Euphydryas editha quino (=E. e. wrighti))",Butterfly,Euphydryas editha quino,Euphydryas editha wrighti
19,E,"Butterfly, San Bruno elfinÂ Wherever found                          (Callophrys mossii bayensis)",Butterfly,Callophrys mossii bayensis,
20,E,"Butterfly, Smith's blueÂ Wherever found                          (Euphilotes enoptes smithi)",Butterfly,Euphilotes enoptes smithi,
21,E,"Chub, bonytailÂ Wherever found                          (Gila elegans)",Chub,Gila elegans,
22,E,"Chub, Owens TuiÂ Wherever found                          (Gila bicolor ssp. snyderi)",Chub,Gila bicolor snyderi,
23,E,"Condor, CaliforniaÂ U.S.A. only, except where listed as an experimental population                          (Gymnogyps californianus)",Condor,Gymnogyps californianus,
