"Status","Species.Listing.Name","kingdom","organism","species","rank","class","taxonkey"
"E","Abalone, WhiteÂ North America (West Coast from Point Conception, CA, U.S.A., to Punta Abreojos, Baja California, Mexico)                          (Haliotis sorenseni)","animal","Abalone","Haliotis sorenseni","SPECIES","Gastropoda",2293070
"E","Albatross, short-tailedÂ Wherever found                          (Phoebastria (=Diomedea) albatrus)","animal","Albatross","Phoebastria albatrus","SPECIES","Aves",2481385
"T","Beetle, valley elderberry longhornÂ Wherever found                          (Desmocerus californicus dimorphus)","animal","Beetle","Desmocerus californicus dimorphus","SUBSPECIES","Insecta",4292518
"E","Beetle, Casey's JuneÂ Wherever found                          (Dinacoma caseyi)","animal","Beetle","Dinacoma caseyi","SPECIES","Insecta",1054051
"T","Beetle, delta green groundÂ Wherever found                          (Elaphrus viridis)","animal","Beetle","Elaphrus viridis","SPECIES","Insecta",1035540
"E","Beetle, Mount Hermon JuneÂ Wherever found                          (Polyphylla barbata)","animal","Beetle","Polyphylla barbata","SPECIES","Insecta",1057467
"E","Butterfly, Lange's metalmarkÂ Wherever found                          (Apodemia mormo langei)","animal","Butterfly","Apodemia mormo langei","SUBSPECIES","Insecta",1934362
"E","Butterfly, San Bruno elfinÂ Wherever found                          (Callophrys mossii bayensis)","animal","Butterfly","Callophrys mossii bayensis","SUBSPECIES","Insecta",4300277
"E","Butterfly, El Segundo blueÂ Wherever found                          (Euphilotes battoides allyni)","animal","Butterfly","Euphilotes battoides allyni","SUBSPECIES","Insecta",4300212
"E","Butterfly, Smith's blueÂ Wherever found                          (Euphilotes enoptes smithi)","animal","Butterfly","Euphilotes enoptes smithi","SUBSPECIES","Insecta",1926009
"T","Butterfly, bay checkerspotÂ Wherever found                          (Euphydryas editha bayensis)","animal","Butterfly","Euphydryas editha bayensis","SUBSPECIES","Insecta",1908011
"E","Butterfly, Quino checkerspotÂ Wherever found                          (Euphydryas editha quino (=E. e. wrighti))","animal","Butterfly","Euphydryas editha quino","SUBSPECIES","Insecta",1908011
"E","Butterfly, Palos Verdes blueÂ Wherever found                          (Glaucopsyche lygdamus palosverdesensis)","animal","Butterfly","Glaucopsyche lygdamus palosverdesensis","SUBSPECIES","Insecta",1924106
"E","Butterfly, mission blueÂ Wherever found                          (Icaricia icarioides missionensis)","animal","Butterfly","Icaricia icarioides missionensis","SUBSPECIES","Insecta",1932056
"E","Butterfly, lotis blueÂ Wherever found                          (Lycaeides argyrognomon lotis)","animal","Butterfly","Lycaeides argyrognomon lotis","SUBSPECIES","Insecta",5138663
